TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
0.550004,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174871,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,-4.97907e-06,-2.17907e-06,1.7981e-05,5.51307e-06,1.21925e-06,3.95868e-07,1.33343e-05,-1.25533e-05,-2.16636e-05,3.18527e-05,-6.84825e-06,-6.28519e-06,6.87063e-06,3.72861e-05,0.162512,0.13459,-0.381408,0.426967,0.133947,0.0980472,
0.575004,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174871,1.36327,-0.0167261,0.106575,0.254971,1.7321,1.74927,-3.17784e-06,-9.19465e-06,-3.3019e-06,-1.04857e-05,1.17402e-05,1.0257e-05,-5.13406e-06,-6.48334e-06,7.20447e-06,4.14167e-05,3.65043e-06,2.32419e-05,-4.36071e-05,8.13322e-06,0.162512,0.13459,-0.381408,0.426967,0.133947,0.0980472,
0.600004,0.896686,-0.966169,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174871,1.36327,-0.0167261,0.106575,0.254971,1.7321,1.74927,-3.17784e-06,-9.19465e-06,-3.3019e-06,-1.04857e-05,1.17402e-05,1.0257e-05,-5.13406e-06,-6.48334e-06,7.20447e-06,4.14167e-05,3.65043e-06,2.32419e-05,-4.36071e-05,8.13322e-06,0.162512,0.13459,-0.381408,0.426967,0.133947,0.0980472,
0.625004,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174873,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,-2.02822e-06,-5.83444e-05,-2.58456e-05,-6.47384e-06,2.80249e-05,-1.59345e-05,-1.51186e-05,-7.92934e-06,5.45786e-06,7.45708e-05,-2.42789e-05,-9.3254e-07,-2.30591e-05,1.53692e-05,0.162512,0.134592,-0.381408,0.426967,0.133947,0.0980465,
0.650004,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174873,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,-2.02822e-06,-5.83444e-05,-2.58456e-05,-6.47384e-06,2.80249e-05,-1.59345e-05,-1.51186e-05,-7.92934e-06,5.45786e-06,7.45708e-05,-2.42789e-05,-9.3254e-07,-2.30591e-05,1.53692e-05,0.162512,0.134592,-0.381408,0.426967,0.133947,0.0980465,
0.675004,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158215,-0.174871,1.36327,-0.0167261,0.106575,0.254971,1.73211,1.74927,-1.24271e-06,-4.62361e-05,7.12303e-06,4.17054e-06,-3.81111e-06,-5.35402e-06,2.13988e-06,-8.93251e-06,6.1058e-06,2.30441e-05,-2.21323e-05,1.45838e-05,3.1212e-06,7.35912e-06,0.162512,0.134591,-0.381408,0.426966,0.133947,0.0980464,
0.700004,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158215,-0.174871,1.36327,-0.0167261,0.106575,0.254971,1.73211,1.74927,-1.24271e-06,-4.62361e-05,7.12303e-06,4.17054e-06,-3.81111e-06,-5.35402e-06,2.13988e-06,-8.93251e-06,6.1058e-06,2.30441e-05,-2.21323e-05,1.45838e-05,3.1212e-06,7.35912e-06,0.162512,0.134591,-0.381408,0.426966,0.133947,0.0980464,
0.725004,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158212,-0.174873,1.36327,-0.016729,0.106577,0.254968,1.7321,1.74927,-8.60619e-07,-3.76901e-05,4.63502e-06,1.27759e-05,-2.21682e-06,-8.16175e-06,-2.77006e-05,-2.72248e-05,4.14956e-05,-3.7445e-06,-5.64064e-06,-1.23446e-05,-2.51819e-05,1.09397e-05,0.162512,0.134592,-0.381408,0.426967,0.133947,0.0980469,
0.750005,0.896686,-0.966169,-1.12013,-1.2956,-2.17066,2.17721,0.158213,-0.174873,1.36327,-0.0167261,0.106577,0.254968,1.73211,1.74927,-4.18578e-06,-3.90002e-06,-2.77636e-05,-2.28701e-05,-1.21974e-05,-1.32238e-05,-1.26022e-05,-1.66451e-05,6.35724e-05,2.33388e-05,-8.34932e-06,-5.67052e-05,-2.5867e-05,3.15503e-05,0.162511,0.13459,-0.381408,0.426967,0.133947,0.098047,
0.775005,0.896686,-0.966169,-1.12013,-1.2956,-2.17066,2.17721,0.158213,-0.174873,1.36327,-0.0167261,0.106577,0.254968,1.73211,1.74927,-4.18578e-06,-3.90002e-06,-2.77636e-05,-2.28701e-05,-1.21974e-05,-1.32238e-05,-1.26022e-05,-1.66451e-05,6.35724e-05,2.33388e-05,-8.34932e-06,-5.67052e-05,-2.5867e-05,3.15503e-05,0.162511,0.13459,-0.381408,0.426967,0.133947,0.098047,
0.800005,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174871,1.36327,-0.016729,0.106575,0.254968,1.73211,1.74927,-9.24503e-06,-3.76518e-05,-4.34744e-08,5.99433e-06,-8.51215e-06,-2.04722e-05,1.13175e-06,-1.37944e-05,5.38868e-05,-1.6125e-05,-1.78349e-05,-4.62382e-05,-1.22153e-05,-3.41462e-06,0.162512,0.134591,-0.381408,0.426966,0.133947,0.0980465,
0.825005,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174871,1.36327,-0.016729,0.106575,0.254968,1.73211,1.74927,-9.24503e-06,-3.76518e-05,-4.34744e-08,5.99433e-06,-8.51215e-06,-2.04722e-05,1.13175e-06,-1.37944e-05,5.38868e-05,-1.6125e-05,-1.78349e-05,-4.62382e-05,-1.22153e-05,-3.41462e-06,0.162512,0.134591,-0.381408,0.426966,0.133947,0.0980465,
0.850005,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106577,0.254968,1.73211,1.74927,-5.90054e-06,-4.05291e-05,-1.09402e-05,1.64826e-05,-1.42494e-05,-1.59653e-05,-1.50832e-05,1.25562e-05,-2.92421e-06,1.24275e-05,-7.38213e-06,-2.31155e-05,5.2508e-06,1.93113e-05,0.162511,0.134591,-0.381408,0.426966,0.133947,0.0980464,
0.875005,0.896686,-0.966171,-1.12013,-1.29559,-2.17066,2.17721,0.158213,-0.174869,1.36327,-0.0167261,0.106577,0.254968,1.73211,1.74927,-5.90054e-06,-4.05291e-05,-1.09402e-05,1.64826e-05,-1.42494e-05,-1.59653e-05,-1.50832e-05,1.25562e-05,-2.92421e-06,1.24275e-05,-7.38213e-06,-2.31155e-05,5.2508e-06,1.93113e-05,0.162511,0.134591,-0.381408,0.426966,0.133947,0.0980464,
0.900005,0.896686,-0.966166,-1.12013,-1.29559,-2.17066,2.17721,0.158215,-0.174873,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,-4.25732e-06,1.42141e-05,-7.42098e-06,1.82143e-05,-3.05281e-05,-1.33457e-05,1.20854e-05,-3.25355e-05,-6.78982e-06,1.31429e-05,-1.14115e-05,-9.56931e-06,2.33494e-06,7.9585e-06,0.162511,0.13459,-0.381407,0.426968,0.133947,0.0980478,
0.925005,0.896686,-0.966171,-1.12013,-1.2956,-2.17066,2.17721,0.158212,-0.174869,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,-2.71719e-06,-3.49612e-05,4.59508e-06,1.71333e-05,-6.96932e-06,-8.51775e-06,-8.47688e-06,-1.07979e-07,2.03426e-05,4.6221e-06,-1.31752e-05,1.62612e-05,-4.38845e-06,-3.73047e-07,0.162511,0.13459,-0.381407,0.426965,0.133947,0.0980461,
0.950005,0.896686,-0.966171,-1.12013,-1.2956,-2.17066,2.17721,0.158212,-0.174869,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,-2.71719e-06,-3.49612e-05,4.59508e-06,1.71333e-05,-6.96932e-06,-8.51775e-06,-8.47688e-06,-1.07979e-07,2.03426e-05,4.6221e-06,-1.31752e-05,1.62612e-05,-4.38845e-06,-3.73047e-07,0.162512,0.13459,-0.381408,0.426965,0.133947,0.0980461,
0.975005,0.896686,-0.966169,-1.12013,-1.2956,-2.17066,2.17721,0.15821,-0.174869,1.36327,-0.0167261,0.106575,0.254968,1.73211,1.74927,-8.1664e-06,-7.32423e-06,3.64326e-06,2.34901e-05,-5.71885e-06,-5.21891e-06,-2.26815e-05,1.97737e-05,-1.54437e-05,-4.07498e-06,-7.43355e-06,2.03747e-05,-1.21095e-07,1.36285e-05,0.162512,0.13459,-0.381409,0.426966,0.133947,0.0980468,
