TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
0.625005,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231791,0.254971,1.45755,1.74927,7.08701e-06,1.53798e-05,-1.44659e-05,-1.41685e-07,-7.57491e-06,-4.16356e-06,-8.41677e-06,1.09401e-05,1.82997e-05,4.09894e-06,1.21485e-05,2.77554e-05,1.42051e-05,1.15954e-06,0.104954,0.134588,-0.345773,0.426964,0.0849889,0.0980453,
0.650005,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38317,-0.0167232,0.231788,0.254971,1.45755,1.74927,3.37821e-06,-4.40593e-06,-2.50605e-05,-9.41967e-08,-1.05286e-05,-2.24996e-05,-1.03889e-05,-2.02197e-05,-3.30146e-06,5.65763e-06,-6.80238e-06,2.54246e-05,3.22334e-05,6.00673e-06,0.104953,0.134589,-0.345772,0.426965,0.0849887,0.0980454,
0.675005,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38317,-0.0167232,0.231788,0.254971,1.45755,1.74927,3.37821e-06,-4.40593e-06,-2.50605e-05,-9.41967e-08,-1.05286e-05,-2.24996e-05,-1.03889e-05,-2.02197e-05,-3.30146e-06,5.65763e-06,-6.80238e-06,2.54246e-05,3.22334e-05,6.00673e-06,0.104953,0.134589,-0.345772,0.426965,0.0849887,0.0980454,
0.700005,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38317,-0.0167213,0.231788,0.254971,1.45755,1.74927,2.1561e-06,1.05611e-06,-1.08117e-05,-6.012e-08,5.74214e-06,-7.04616e-06,-1.7557e-06,-1.09032e-05,-2.6547e-06,1.18163e-05,9.09487e-07,1.8889e-05,1.04036e-05,1.19253e-05,0.104954,0.134588,-0.345772,0.426965,0.0849887,0.0980454,
0.725005,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38317,-0.0167213,0.231788,0.254971,1.45755,1.74927,2.1561e-06,1.05611e-06,-1.08117e-05,-6.012e-08,5.74214e-06,-7.04616e-06,-1.7557e-06,-1.09032e-05,-2.6547e-06,1.18163e-05,9.09487e-07,1.8889e-05,1.04036e-05,1.19253e-05,0.104954,0.134588,-0.345772,0.426965,0.0849887,0.0980454,
0.750005,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38317,-0.0167213,0.231791,0.254968,1.45755,1.74927,1.32107e-06,1.60654e-05,-3.78965e-05,-3.68361e-08,6.65467e-06,-7.38009e-06,-1.79526e-05,2.97469e-05,9.24081e-06,1.55956e-06,-2.94715e-06,-3.71111e-05,2.71654e-05,4.33753e-06,0.104953,0.134588,-0.345772,0.426965,0.0849885,0.0980454,
0.775005,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38317,-0.0167213,0.231791,0.254968,1.45755,1.74927,1.32107e-06,1.60654e-05,-3.78965e-05,-3.68361e-08,6.65467e-06,-7.38009e-06,-1.79526e-05,2.97469e-05,9.24081e-06,1.55956e-06,-2.94715e-06,-3.71111e-05,2.71654e-05,4.33753e-06,0.104953,0.134588,-0.345772,0.426965,0.0849885,0.0980454,
0.800005,0.921446,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174871,1.38318,-0.0167213,0.231788,0.254971,1.45755,1.74927,-4.98619e-06,1.21934e-05,-7.33512e-06,-2.44899e-08,2.44476e-05,-4.21475e-06,-1.34156e-05,2.0002e-05,2.11344e-05,4.60618e-06,-3.71295e-05,-1.63714e-05,2.17382e-06,-1.51742e-06,0.104954,0.134588,-0.345773,0.426965,0.0849889,0.0980454,
0.825005,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167213,0.231788,0.254971,1.45755,1.74927,6.69666e-06,9.22159e-06,-1.05119e-05,2.23452e-05,1.35238e-05,1.88601e-05,-1.52687e-05,2.15212e-05,-4.88137e-06,8.00715e-06,-4.53279e-05,-2.16081e-05,3.44739e-05,3.60731e-05,0.104954,0.134588,-0.345772,0.426964,0.0849887,0.0980456,
0.850005,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167213,0.231788,0.254971,1.45755,1.74927,6.69666e-06,9.22159e-06,-1.05119e-05,2.23452e-05,1.35238e-05,1.88601e-05,-1.52687e-05,2.15212e-05,-4.88137e-06,8.00715e-06,-4.53279e-05,-2.16081e-05,3.44739e-05,3.60731e-05,0.104954,0.134588,-0.345772,0.426964,0.0849887,0.0980456,
0.875005,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231788,0.254971,1.45755,1.74927,-2.83539e-07,2.64217e-05,-2.42249e-06,9.0163e-06,2.16118e-06,5.14217e-06,-2.64028e-05,1.37357e-05,-8.39835e-06,-7.45925e-06,-2.03023e-05,-2.88886e-05,3.84726e-05,5.1884e-06,0.104954,0.134587,-0.345772,0.426965,0.0849887,0.0980461,
0.900006,0.921447,-0.966173,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231788,0.254971,1.45755,1.74927,-2.83539e-07,2.64217e-05,-2.42249e-06,9.0163e-06,2.16118e-06,5.14217e-06,-2.64028e-05,1.37357e-05,-8.39835e-06,-7.45925e-06,-2.03023e-05,-2.88886e-05,3.84726e-05,5.1884e-06,0.104954,0.134587,-0.345772,0.426965,0.0849887,0.0980461,
0.925006,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231791,0.254971,1.45755,1.74927,-4.81011e-07,-1.58367e-05,-1.34575e-05,5.75456e-06,5.60316e-06,2.15687e-05,-2.70557e-05,2.55884e-05,-1.29931e-05,-1.65116e-05,1.19248e-05,-9.73253e-06,4.49734e-05,3.31144e-06,0.104954,0.134588,-0.345772,0.426964,0.0849887,0.0980453,
0.950006,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231791,0.254971,1.45755,1.74927,-4.81011e-07,-1.58367e-05,-1.34575e-05,5.75456e-06,5.60316e-06,2.15687e-05,-2.70557e-05,2.55884e-05,-1.29931e-05,-1.65116e-05,1.19248e-05,-9.73253e-06,4.49734e-05,3.31144e-06,0.104954,0.134588,-0.345772,0.426964,0.0849887,0.0980453,
0.975006,0.921447,-0.966176,-1.44785,-1.29559,-2.1587,2.17722,0.0607343,-0.174869,1.38317,-0.0167232,0.231788,0.254968,1.45755,1.74927,-4.82556e-08,-2.09854e-05,-1.79018e-05,6.96808e-06,-1.55578e-05,1.29429e-05,-1.52118e-05,1.26185e-05,-9.97949e-06,-7.42614e-06,-2.14883e-05,-2.8048e-05,1.76657e-05,3.60626e-06,0.104953,0.134588,-0.345772,0.426964,0.0849885,0.0980454,
