TIME,R-JOINT-P1,L-JOINT-P1,R-JOINT-P2,L-JOINT-P2,R-JOINT-P3,L-JOINT-P3,R-JOINT-P4,L-JOINT-P4,R-JOINT-P5,L-JOINT-P5,R-JOINT-P6,L-JOINT-P6,R-JOINT-P7,L-JOINT-P7,R-JOINT-V1,L-JOINT-V1,R-JOINT-V2,L-JOINT-V2,R-JOINT-V3,L-JOINT-V3,R-JOINT-V4,L-JOINT-V4,R-JOINT-V5,L-JOINT-V5,R-JOINT-V6,L-JOINT-V6,R-JOINT-V7,L-JOINT-V7,R-CART1,L-CART1,R-CART2,L-CART2,R-CART3,L-CART3,
0.550004,0.90528,-0.966159,-1.17375,-1.2956,-2.20144,2.17731,0.0910448,-0.174873,-4.89687,-0.0167261,0.0303515,0.254968,1.59394,1.74927,5.90109e-06,-1.94849e-08,1.45018e-06,-2.27413e-05,-3.03222e-06,-7.61127e-06,-1.38525e-05,-7.2956e-06,1.19057e-05,5.49916e-06,-2.23758e-06,6.77471e-06,2.29186e-05,-1.2472e-05,0.141491,0.134554,-0.393046,0.42697,0.127843,0.0980511,
0.575004,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910448,-0.174869,-4.89688,-0.016729,0.0303515,0.254966,1.59394,1.74927,2.4535e-06,-1.2436e-08,1.20612e-05,-9.3536e-07,-3.44591e-06,1.2969e-05,-3.08859e-05,3.74583e-05,-5.52464e-06,-4.12703e-05,-3.92194e-06,-8.45641e-06,-8.02512e-06,-9.6859e-06,0.141491,0.134554,-0.393046,0.426969,0.127843,0.0980513,
0.600004,0.90528,-0.966159,-1.17375,-1.29559,-2.20145,2.17731,0.0910448,-0.174869,-4.89688,-0.0167261,0.0303534,0.254966,1.59394,1.74927,4.88095e-06,-7.93716e-09,2.40722e-05,2.22506e-07,-5.00736e-06,8.2773e-06,-1.88247e-05,2.31808e-05,1.10693e-05,-1.38273e-05,1.75398e-05,-6.61016e-06,9.25473e-06,-2.31245e-05,0.141491,0.134554,-0.393046,0.426969,0.127843,0.0980513,
0.625004,0.90528,-0.966159,-1.17375,-1.29559,-2.20145,2.17731,0.0910448,-0.174869,-4.89688,-0.0167261,0.0303534,0.254966,1.59394,1.74927,4.88095e-06,-7.93716e-09,2.40722e-05,2.22506e-07,-5.00736e-06,8.2773e-06,-1.88247e-05,2.31808e-05,1.10693e-05,-1.38273e-05,1.75398e-05,-6.61016e-06,9.25473e-06,-2.31245e-05,0.141491,0.134554,-0.393046,0.426969,0.127843,0.0980513,
0.650004,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910468,-0.174869,-4.89688,-0.0167309,0.0303495,0.254966,1.59394,1.74927,1.80121e-06,-4.86317e-09,-3.62677e-06,1.03524e-05,1.39371e-05,5.07158e-06,-1.8589e-05,1.32712e-05,9.55864e-06,-3.36445e-05,-9.42025e-06,-4.05011e-06,-1.04485e-05,-2.25561e-06,0.141492,0.134554,-0.393046,0.426969,0.127843,0.0980513,
0.675004,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910468,-0.174869,-4.89688,-0.0167309,0.0303495,0.254966,1.59394,1.74927,1.80121e-06,-4.86317e-09,-3.62677e-06,1.03524e-05,1.39371e-05,5.07158e-06,-1.8589e-05,1.32712e-05,9.55864e-06,-3.36445e-05,-9.42025e-06,-4.05011e-06,-1.04485e-05,-2.25561e-06,0.141492,0.134554,-0.393046,0.426969,0.127843,0.0980513,
0.700005,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910468,-0.174871,-4.89688,-0.016729,0.0303515,0.254966,1.59394,1.74927,1.1975e-06,-3.2332e-09,-1.93782e-05,6.72812e-06,4.36677e-06,1.43958e-06,-1.0702e-05,-7.31108e-06,-8.83541e-06,-1.0152e-05,1.91667e-06,-5.76738e-06,1.84368e-05,-1.35783e-05,0.141491,0.134554,-0.393045,0.42697,0.127843,0.0980514,
0.725005,0.90528,-0.966159,-1.17375,-1.29559,-2.20144,2.17731,0.0910468,-0.174871,-4.89688,-0.016729,0.0303515,0.254966,1.59394,1.74927,1.1975e-06,-3.2332e-09,-1.93782e-05,6.72812e-06,4.36677e-06,1.43958e-06,-1.0702e-05,-7.31108e-06,-8.83541e-06,-1.0152e-05,1.91667e-06,-5.76738e-06,1.84368e-05,-1.35783e-05,0.141491,0.134554,-0.393045,0.42697,0.127843,0.0980514,
0.750005,0.90528,-0.966159,-1.17375,-1.29559,-2.20145,2.17731,0.0910448,-0.174869,-4.89688,-0.016729,0.0303515,0.254966,1.59394,1.74927,7.64293e-07,-2.06355e-09,9.92111e-06,9.4965e-06,-2.08106e-05,9.18798e-07,-3.97123e-05,4.02272e-05,4.37063e-06,3.21821e-05,5.26192e-06,-3.68097e-06,1.64271e-05,1.62477e-05,0.14149,0.134554,-0.393046,0.426969,0.127843,0.0980513,
0.775005,0.90528,-0.966159,-1.17375,-1.29559,-2.20145,2.17731,0.0910448,-0.174869,-4.89688,-0.016729,0.0303515,0.254966,1.59394,1.74927,7.64293e-07,-2.06355e-09,9.92111e-06,9.4965e-06,-2.08106e-05,9.18798e-07,-3.97123e-05,4.02272e-05,4.37063e-06,3.21821e-05,5.26192e-06,-3.68097e-06,1.64271e-05,1.62477e-05,0.14149,0.134554,-0.393046,0.426969,0.127843,0.0980513,
